"","CNTSTUID","CNT.x","ST001D01T","ST004D01T","STRATUM","ave_cr_social","ave_cr","ave_emp"
"2083",41002230,"KOR",10,1,"KOR02",NA,NA,3.2
"2084",41002231,"KOR",10,1,"KOR02",NA,NA,3.2
"2085",41002232,"KOR",10,2,"KOR03",2,0.692307692307692,4.4
"2086",41002233,"KOR",10,1,"KOR02",2,1.16666666666667,2.4
"2087",41002234,"KOR",10,1,"KOR02",NA,NA,3.2
"2088",41002235,"KOR",10,2,"KOR02",2,1.66666666666667,3.6
"2089",41002236,"KOR",10,2,"KOR02",NA,NA,4.2
"2090",41002237,"KOR",10,2,"KOR03",NA,NA,3
"2091",41002238,"KOR",10,2,"KOR03",NA,NA,3.6
"2092",41002239,"KOR",10,2,"KOR02",NA,NA,3.6
"2093",41002240,"KOR",10,2,"KOR02",NA,NA,2.8
"2094",41002241,"KOR",10,1,"KOR02",0.666666666666667,0.888888888888889,3.4
"2095",41002242,"KOR",10,2,"KOR02",NA,NA,4.4
"2096",41002243,"KOR",10,1,"KOR02",NA,NA,3.2
"2097",41002244,"KOR",10,1,"KOR02",NA,NA,3
"2098",41002245,"KOR",10,2,"KOR03",NA,NA,3
"2099",41002246,"KOR",10,1,"KOR02",NA,NA,2.6
"2100",41002247,"KOR",10,1,"KOR02",NA,NA,4.4
"2101",41002248,"KOR",10,1,"KOR02",NA,NA,3.6
"2102",41002249,"KOR",10,1,"KOR02",NA,NA,3
"2103",41002250,"KOR",10,2,"KOR02",NA,NA,2.8
"2104",41002251,"KOR",10,1,"KOR02",NA,NA,3.6
"2105",41002252,"KOR",10,1,"KOR02",NA,NA,2.8
"2106",41002253,"KOR",9,1,"KOR01",NA,NA,3.6
"2107",41002254,"KOR",10,2,"KOR02",NA,NA,3
"2108",41002255,"KOR",9,1,"KOR01",NA,NA,2.6
"2109",41002256,"KOR",10,1,"KOR02",NA,NA,2.8
"2110",41002257,"KOR",10,2,"KOR02",NA,NA,3.6
"2111",41002258,"KOR",10,1,"KOR02",NA,NA,4.8
"2112",41002259,"KOR",10,2,"KOR02",NA,NA,3.6
"2113",41002260,"KOR",10,2,"KOR02",0.75,1.22222222222222,3.6
"2114",41002262,"KOR",10,2,"KOR02",1,1.2,2.6
"2115",41002263,"KOR",10,1,"KOR02",NA,NA,2.8
"2116",41002264,"KOR",10,1,"KOR02",NA,NA,3.2
"2117",41002265,"KOR",10,1,"KOR02",NA,NA,3.2
"2118",41002266,"KOR",10,2,"KOR02",0,1.3,3.4
"2119",41002267,"KOR",9,2,"KOR01",NA,NA,4
"2120",41002268,"KOR",10,1,"KOR03",0.666666666666667,1,2.6
"2121",41002269,"KOR",10,1,"KOR02",1,1.2,3.4
"2122",41002270,"KOR",10,1,"KOR02",NA,NA,2.8
"2123",41002271,"KOR",10,1,"KOR02",NA,NA,3
"2124",41002272,"KOR",10,1,"KOR02",NA,NA,3.6
"2125",41002273,"KOR",10,2,"KOR02",NA,NA,2.6
"2126",41002274,"KOR",10,2,"KOR02",NA,NA,3.6
"2127",41002275,"KOR",10,2,"KOR02",NA,NA,2.8
"2128",41002276,"KOR",10,2,"KOR02",2,1.6,3.6
"2129",41002277,"KOR",10,2,"KOR03",NA,NA,4.4
"2130",41002278,"KOR",10,2,"KOR02",NA,NA,2.8
"2131",41002279,"KOR",10,2,"KOR02",1.2,1.42857142857143,3.2
"2132",41002280,"KOR",10,2,"KOR02",1.5,1.66666666666667,3
"2133",41002281,"KOR",9,2,"KOR01",NA,NA,2.6
"2134",41002282,"KOR",10,2,"KOR02",0,0.777777777777778,3.8
"2135",41002283,"KOR",10,1,"KOR02",NA,NA,3.4
"2136",41002284,"KOR",10,2,"KOR05",2,1.33333333333333,2.4
"2137",41002285,"KOR",10,2,"KOR02",1.5,1.26666666666667,2.4
"2138",41002286,"KOR",10,2,"KOR03",NA,NA,NA
"2139",41002287,"KOR",10,2,"KOR02",NA,NA,3.4
"2140",41002288,"KOR",10,1,"KOR02",1.25,1.33333333333333,4.2
